timestamp,open,high,low,close,volume
2024-07-01 09:30:00-04:00,261.0,261.07,258.6,258.85,285939.0
2024-07-01 09:35:00-04:00,258.91,259.9257,258.86,259.44,156327.0
2024-07-01 09:40:00-04:00,259.47,259.48,257.38,257.51,251173.0
2024-07-01 09:45:00-04:00,257.49,257.86,256.06,256.28,200766.0
2024-07-01 09:50:00-04:00,256.27,256.71,255.7,256.3101,217771.0
2024-07-01 09:55:00-04:00,256.36,257.46,256.3,257.27,132379.0
2024-07-01 10:00:00-04:00,257.33,258.0452,257.33,257.965,399378.0
2024-07-01 10:05:00-04:00,258.01,258.5,257.83,257.9,142771.0
2024-07-01 10:10:00-04:00,257.995,257.995,255.83,255.87,216360.0
2024-07-01 10:15:00-04:00,255.91,258.08,255.662,257.85,190693.0
2024-07-01 10:20:00-04:00,257.9,258.37,257.54,257.64,74850.0
2024-07-01 10:25:00-04:00,257.69,258.32,257.69,258.08,60835.0
2024-07-01 10:30:00-04:00,258.09,258.48,257.815,257.97,123669.0
2024-07-01 10:35:00-04:00,257.89,258.91,257.71,257.78,188663.0
2024-07-01 10:40:00-04:00,257.65,258.3,257.435,258.25,108745.0
2024-07-01 10:45:00-04:00,258.23,258.59,257.81,257.81,50135.0
2024-07-01 10:50:00-04:00,257.91,258.34,257.12,257.13,74375.0
2024-07-01 10:55:00-04:00,257.17,258.07,257.16,257.78,62458.0
2024-07-01 11:00:00-04:00,257.74,257.91,257.34,257.745,52673.0
2024-07-01 11:05:00-04:00,257.71,257.87,257.45,257.5,74963.0
2024-07-01 11:10:00-04:00,257.58,258.87,257.54,258.86,68135.0
2024-07-01 11:15:00-04:00,258.84,258.9,258.58,258.851,26667.0
2024-07-01 11:20:00-04:00,258.875,259.0899,258.35,258.57,42561.0
2024-07-01 11:25:00-04:00,258.5601,259.49,258.5,259.43,46759.0
2024-07-01 11:30:00-04:00,259.37,259.39,258.85,259.39,33034.0
2024-07-01 11:35:00-04:00,259.352,259.54,258.9,258.935,46981.0
2024-07-01 11:40:00-04:00,258.91,259.52,258.91,259.0,46376.0
2024-07-01 11:45:00-04:00,259.0,259.66,259.0,259.458,43265.0
2024-07-01 11:50:00-04:00,259.48,259.9,259.43,259.69,52370.0
2024-07-01 11:55:00-04:00,259.685,259.94,259.4,259.94,47146.0
2024-07-01 12:00:00-04:00,259.95,260.207,259.78,259.92,43382.0
2024-07-01 12:05:00-04:00,259.97,260.76,259.95,260.76,77862.0
2024-07-01 12:10:00-04:00,260.74,260.94,260.28,260.9,44224.0
2024-07-01 12:15:00-04:00,260.82,261.13,260.675,260.86,32763.0
2024-07-01 12:20:00-04:00,260.92,260.95,260.59,260.8,34034.0
2024-07-01 12:25:00-04:00,260.78,260.8,260.585,260.695,46151.0
2024-07-01 12:30:00-04:00,260.61,260.73,260.16,260.16,22298.0
2024-07-01 12:35:00-04:00,260.19,260.4,260.17,260.33,26849.0
2024-07-01 12:40:00-04:00,260.35,260.37,260.0,260.22,25976.0
2024-07-01 12:45:00-04:00,260.22,260.5,260.13,260.2,21481.0
2024-07-01 12:50:00-04:00,260.23,260.49,260.19,260.46,20291.0
2024-07-01 12:55:00-04:00,260.48,260.56,259.9,260.2099,33951.0
2024-07-01 13:00:00-04:00,260.11,260.205,259.66,259.67,52886.0
2024-07-01 13:05:00-04:00,259.59,259.76,259.41,259.545,39480.0
2024-07-01 13:10:00-04:00,259.57,259.89,259.57,259.68,25684.0
2024-07-01 13:15:00-04:00,259.66,259.95,259.65,259.935,61182.0
2024-07-01 13:20:00-04:00,259.89,259.89,259.29,259.6,23356.0
2024-07-01 13:25:00-04:00,259.64,260.31,259.64,260.2,21740.0
2024-07-01 13:30:00-04:00,260.17,260.17,259.89,260.0098,30605.0
2024-07-01 13:35:00-04:00,259.96,260.31,259.8,259.89,57675.0
2024-07-01 13:40:00-04:00,259.97,260.27,259.95,260.18,19699.0
2024-07-01 13:45:00-04:00,260.15,260.28,259.97,259.99,12563.0
2024-07-01 13:50:00-04:00,260.06,260.1,259.81,259.84,28163.0
2024-07-01 13:55:00-04:00,259.8,259.86,259.64,259.78,13841.0
2024-07-01 14:00:00-04:00,259.76,259.8748,259.49,259.8748,14405.0
2024-07-01 14:05:00-04:00,259.855,260.291,259.75,260.2496,29087.0
2024-07-01 14:10:00-04:00,260.23,260.72,260.15,260.5,38107.0
2024-07-01 14:15:00-04:00,260.72,260.9799,260.69,260.95,27621.0
2024-07-01 14:20:00-04:00,260.94,260.94,260.33,260.39,63479.0
2024-07-01 14:25:00-04:00,260.39,260.48,260.05,260.185,37441.0
2024-07-01 14:30:00-04:00,260.19,260.42,259.95,260.42,35778.0
2024-07-01 14:35:00-04:00,260.4,260.58,260.18,260.44,41719.0
