timestamp,open,high,low,close,volume
2024-07-01 09:30:00-04:00,545.63,545.8599,545.19,545.5,1535112.0
2024-07-01 09:35:00-04:00,545.49,545.64,545.27,545.4157,459700.0
2024-07-01 09:40:00-04:00,545.415,545.48,545.0,545.08,1688883.0
2024-07-01 09:45:00-04:00,545.07,545.16,544.335,544.39,637805.0
2024-07-01 09:50:00-04:00,544.37,544.55,544.095,544.39,879036.0
2024-07-01 09:55:00-04:00,544.4,544.95,544.36,544.77,554622.0
2024-07-01 10:00:00-04:00,544.77,545.47,544.765,544.96,691429.0
2024-07-01 10:05:00-04:00,544.97,545.13,544.76,544.79,401208.0
2024-07-01 10:10:00-04:00,544.78,544.8,542.7125,542.77,1169595.0
2024-07-01 10:15:00-04:00,542.79,544.34,542.6,544.2,829555.0
2024-07-01 10:20:00-04:00,544.22,544.48,543.74,544.21,485500.0
2024-07-01 10:25:00-04:00,544.2,544.44,544.04,544.33,533166.0
2024-07-01 10:30:00-04:00,544.32,544.4,543.57,543.58,421629.0
2024-07-01 10:35:00-04:00,543.59,544.08,543.33,543.335,425695.0
2024-07-01 10:40:00-04:00,543.335,543.555,542.8,543.4399,421921.0
2024-07-01 10:45:00-04:00,543.45,543.51,542.9,542.915,237793.0
2024-07-01 10:50:00-04:00,542.99,543.46,542.7001,542.74,329364.0
2024-07-01 10:55:00-04:00,542.72,543.57,542.52,543.35,429152.0
2024-07-01 11:00:00-04:00,543.34,543.38,542.88,543.255,340241.0
2024-07-01 11:05:00-04:00,543.27,543.66,543.0,543.375,233191.0
2024-07-01 11:10:00-04:00,543.3705,543.939,543.25,543.89,289774.0
2024-07-01 11:15:00-04:00,543.88,543.94,543.63,543.74,209311.0
2024-07-01 11:20:00-04:00,543.73,543.83,543.37,543.555,210908.0
2024-07-01 11:25:00-04:00,543.56,544.25,543.56,544.22,336613.0
2024-07-01 11:30:00-04:00,544.21,544.23,543.93,544.15,231907.0
2024-07-01 11:35:00-04:00,544.145,544.235,543.65,543.855,229871.0
2024-07-01 11:40:00-04:00,543.84,544.2086,543.7,543.7099,279150.0
2024-07-01 11:45:00-04:00,543.7,544.16,543.69,544.04,196553.0
2024-07-01 11:50:00-04:00,544.0499,544.29,544.0,544.24,184646.0
